,Current,Voltage
,-3.32E-04,-0.086
,-3.319E-04,-0.088
,-3.318E-04,-0.088
,-3.317E-04,-0.088
,-3.316E-04,-0.09
,-3.315E-04,-0.089
,-3.314E-04,-0.088
,-3.313E-04,-0.092
,-3.312E-04,-0.09
,-3.311E-04,-0.087
,-3.31E-04,-0.092
,-3.309E-04,-0.088
,-3.308E-04,-0.091
,-3.307E-04,-0.091
,-3.306E-04,-0.091
,-3.305E-04,-0.092
,-3.304E-04,-0.091
,-3.303E-04,-0.09
,-3.302E-04,-0.091
,-3.301E-04,-0.096
,-3.3E-04,-0.087
,-3.299E-04,-0.09
,-3.298E-04,-0.091
,-3.297E-04,-0.093
,-3.296E-04,-0.089
,-3.295E-04,-0.091
,-3.294E-04,-0.09
,-3.293E-04,-0.092
,-3.292E-04,-0.091
,-3.291E-04,-0.093
,-3.29E-04,-0.09
,-3.289E-04,-0.093
,-3.288E-04,-0.088
,-3.287E-04,-0.092
,-3.286E-04,-0.094
,-3.285E-04,-0.092
,-3.284E-04,-0.092
,-3.283E-04,-0.093
,-3.282E-04,-0.093
,-3.281E-04,-0.091
,-3.28E-04,-0.093
,-3.279E-04,-0.088
,-3.278E-04,-0.092
,-3.277E-04,-0.091
,-3.276E-04,-0.091
,-3.275E-04,-0.093
,-3.274E-04,-0.091
,-3.273E-04,-0.093
,-3.272E-04,-0.093
,-3.271E-04,-0.092
,-3.27E-04,-0.092
,-3.269E-04,-0.093
,-3.268E-04,-0.091
,-3.267E-04,-0.092
,-3.266E-04,-0.092
,-3.265E-04,-0.095
,-3.264E-04,-0.093
,-3.263E-04,-0.092
,-3.262E-04,-0.092
,-3.261E-04,-0.092
,-3.26E-04,-0.092
,-3.259E-04,-0.094
,-3.258E-04,-0.092
,-3.257E-04,-0.094
,-3.256E-04,-0.092
,-3.255E-04,-0.094
,-3.254E-04,-0.093
,-3.253E-04,-0.093
,-3.252E-04,-0.094
,-3.251E-04,-0.093
,-3.25E-04,-0.095
,-3.249E-04,-0.092
,-3.248E-04,-0.096
,-3.247E-04,-0.093
,-3.246E-04,-0.093
,-3.245E-04,-0.091
,-3.244E-04,-0.092
,-3.243E-04,-0.093
,-3.242E-04,-0.092
,-3.241E-04,-0.094
,-3.24E-04,-0.092
,-3.239E-04,-0.096
,-3.238E-04,-0.091
,-3.237E-04,-0.095
,-3.236E-04,-0.092
,-3.235E-04,-0.094
,-3.234E-04,-0.093
,-3.233E-04,-0.095
,-3.232E-04,-0.096
,-3.231E-04,-0.094
,-3.23E-04,-0.094
,-3.229E-04,-0.092
,-3.228E-04,-0.093
,-3.227E-04,-0.091
,-3.226E-04,-0.094
,-3.225E-04,-0.089
,-3.224E-04,-0.093
,-3.223E-04,-0.094
,-3.222E-04,-0.093
,-3.221E-04,-0.094
,-3.22E-04,-0.096
,-3.219E-04,-0.09
,-3.218E-04,-0.093
,-3.217E-04,-0.095
,-3.216E-04,-0.093
,-3.215E-04,-0.093
,-3.214E-04,-0.096
